"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20201027_20201109.csv"
"C","Report for: 10/27/2020 - 11/09/2020"
"C","Report generated: 06/18/2021 11:46:08 EDT"
"H","Date","Hour Ending","Total Load"
"D","11/08/2020","17",12774.98
"D","11/08/2020","18",13766.36
"D","11/08/2020","19",13459.16
"D","11/08/2020","20",12860.35
"D","11/08/2020","21",12190.12
"D","11/08/2020","22",11433.72
"D","11/08/2020","23",11017.29
"D","11/08/2020","24",10492.77
"D","11/09/2020","01",10095.06
"D","11/09/2020","02",9815.92
"D","11/09/2020","03",9934.91
"D","11/09/2020","04",9844.22
"D","11/09/2020","05",10078.03
"D","11/09/2020","06",10779.11
"D","11/09/2020","07",11605.53
"D","11/09/2020","08",12282.67
"D","11/09/2020","09",12062.86
"D","11/09/2020","10",11598.3
"D","11/09/2020","11",11469.76
"D","11/09/2020","12",11458.86
"D","11/09/2020","13",11625.2
"D","11/09/2020","14",11966.05
"D","11/09/2020","15",12472.19
"D","11/09/2020","16",13137.64
"D","11/09/2020","17",13921.88
"D","11/09/2020","18",14886.34
"D","11/09/2020","19",14520.15
"D","11/09/2020","20",13835.15
"D","11/09/2020","21",13004.71
"D","11/09/2020","22",12092.35
"D","11/09/2020","23",11097.95
"D","11/09/2020","24",10425.76
"T","337 lines"
