"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20180101_20180115.csv"
"C","Report for: 01/01/2018 - 01/15/2018"
"C","Report generated: 06/18/2021 14:04:48 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/01/2018","01",16005.42
"D","01/01/2018","02",15583.19
"D","01/01/2018","03",15570.39
"D","01/01/2018","04",15424.27
"D","01/01/2018","05",15251.2
"D","01/01/2018","06",15548.81
"D","01/01/2018","07",16018.07
"D","01/01/2018","08",16170.58
"D","01/01/2018","09",16729.0
"D","01/01/2018","10",17251.19
"D","01/01/2018","11",17582.57
"D","01/01/2018","12",17691.73
"D","01/01/2018","13",17649.33
"D","01/01/2018","14",17543.13
"D","01/01/2018","15",17568.27
"D","01/01/2018","16",17936.62
"D","01/01/2018","17",19133.79
"D","01/01/2018","18",20314.02
"D","01/01/2018","19",20181.28
"D","01/01/2018","20",19787.5
"D","01/01/2018","21",19141.67
"D","01/01/2018","22",18176.08
"D","01/01/2018","23",16949.96
"D","01/01/2018","24",16046.0
"D","01/02/2018","01",15757.63
"D","01/02/2018","02",15470.24
"D","01/02/2018","03",15164.13
"D","01/02/2018","04",15141.23
"D","01/02/2018","05",15480.31
"D","01/02/2018","06",16466.49
"D","01/02/2018","07",17939.09
"D","01/02/2018","08",19033.08
"D","01/02/2018","09",19214.08
"D","01/02/2018","10",19100.18
"D","01/02/2018","11",18904.74
"D","01/02/2018","12",18665.09
"D","01/02/2018","13",18420.1
"D","01/02/2018","14",18401.49
"D","01/02/2018","15",18559.94
"D","01/02/2018","16",18672.04
"D","01/02/2018","17",19568.0
"D","01/02/2018","18",20628.62
"D","01/02/2018","19",20638.99
"D","01/02/2018","20",20266.36
"D","01/02/2018","21",19601.19
"D","01/02/2018","22",18510.38
"D","01/02/2018","23",17249.47
"D","01/02/2018","24",16334.82
"D","01/03/2018","01",15552.07
"D","01/03/2018","02",15147.59
"D","01/03/2018","03",15009.43
"D","01/03/2018","04",14954.2
"D","01/03/2018","05",15357.0
"D","01/03/2018","06",15849.9
"D","01/03/2018","07",17600.06
"D","01/03/2018","08",18633.99
"D","01/03/2018","09",18590.05
"D","01/03/2018","10",18190.91
"D","01/03/2018","11",17807.56
"D","01/03/2018","12",17408.04
"D","01/03/2018","13",17068.99
"D","01/03/2018","14",17029.86
"D","01/03/2018","15",17082.72
"D","01/03/2018","16",17343.22
"D","01/03/2018","17",18305.42
"D","01/03/2018","18",19445.82
"D","01/03/2018","19",19539.04
"D","01/03/2018","20",19238.43
"D","01/03/2018","21",18728.99
"D","01/03/2018","22",17846.76
"D","01/03/2018","23",16689.13
"D","01/03/2018","24",15684.25
"D","01/04/2018","01",15259.33
"D","01/04/2018","02",15185.66
"D","01/04/2018","03",14884.85
"D","01/04/2018","04",14804.4
"D","01/04/2018","05",15027.27
"D","01/04/2018","06",15391.56
"D","01/04/2018","07",15808.99
"D","01/04/2018","08",16474.34
"D","01/04/2018","09",17285.52
"D","01/04/2018","10",18065.5
"D","01/04/2018","11",18846.82
"D","01/04/2018","12",19038.03
"D","01/04/2018","13",18696.04
"D","01/04/2018","14",18493.94
"D","01/04/2018","15",18185.04
"D","01/04/2018","16",18044.47
"D","01/04/2018","17",18673.8
"D","01/04/2018","18",19449.74
"D","01/04/2018","19",19156.1
"D","01/04/2018","20",18523.1
"D","01/04/2018","21",17815.94
"D","01/04/2018","22",16919.85
"D","01/04/2018","23",16200.36
"D","01/04/2018","24",15366.14
"D","01/05/2018","01",14911.16
"D","01/05/2018","02",14521.75
"D","01/05/2018","03",14389.01
"D","01/05/2018","04",14457.63
"D","01/05/2018","05",14768.24
"D","01/05/2018","06",15138.77
"D","01/05/2018","07",16203.89
"D","01/05/2018","08",17306.11
"D","01/05/2018","09",17976.88
"D","01/05/2018","10",18260.23
"D","01/05/2018","11",18339.59
"D","01/05/2018","12",18424.54
"D","01/05/2018","13",18405.92
"D","01/05/2018","14",18426.95
"D","01/05/2018","15",18493.53
"D","01/05/2018","16",18746.5
"D","01/05/2018","17",19630.62
"D","01/05/2018","18",20663.15
"D","01/05/2018","19",20607.1
"D","01/05/2018","20",20184.84
"D","01/05/2018","21",19648.4
"D","01/05/2018","22",18874.4
"D","01/05/2018","23",17900.44
"D","01/05/2018","24",16879.05
"D","01/06/2018","01",16547.34
"D","01/06/2018","02",16507.54
"D","01/06/2018","03",16282.25
"D","01/06/2018","04",16201.86
"D","01/06/2018","05",16302.61
"D","01/06/2018","06",16447.62
"D","01/06/2018","07",16809.11
"D","01/06/2018","08",17332.07
"D","01/06/2018","09",18033.96
"D","01/06/2018","10",18444.75
"D","01/06/2018","11",18585.28
"D","01/06/2018","12",18553.68
"D","01/06/2018","13",18375.54
"D","01/06/2018","14",18204.38
"D","01/06/2018","15",18183.24
"D","01/06/2018","16",18461.23
"D","01/06/2018","17",19425.29
"D","01/06/2018","18",20414.41
"D","01/06/2018","19",20331.28
"D","01/06/2018","20",19882.53
"D","01/06/2018","21",19438.33
"D","01/06/2018","22",18737.63
"D","01/06/2018","23",17853.55
"D","01/06/2018","24",16969.76
"D","01/07/2018","01",16314.9
"D","01/07/2018","02",16105.16
"D","01/07/2018","03",16047.98
"D","01/07/2018","04",16183.58
"D","01/07/2018","05",16278.64
"D","01/07/2018","06",16590.38
"D","01/07/2018","07",16773.38
"D","01/07/2018","08",17287.96
"D","01/07/2018","09",17945.06
"D","01/07/2018","10",18292.76
"D","01/07/2018","11",18350.69
"D","01/07/2018","12",18262.34
"D","01/07/2018","13",18084.31
"D","01/07/2018","14",17867.7
"D","01/07/2018","15",17807.95
"D","01/07/2018","16",18136.23
"D","01/07/2018","17",19209.14
"D","01/07/2018","18",20305.06
"D","01/07/2018","19",20223.01
"D","01/07/2018","20",19665.04
"D","01/07/2018","21",18991.18
"D","01/07/2018","22",17943.13
"D","01/07/2018","23",16670.77
"D","01/07/2018","24",15762.0
"D","01/08/2018","01",15205.26
"D","01/08/2018","02",14963.8
"D","01/08/2018","03",14751.12
"D","01/08/2018","04",14716.45
"D","01/08/2018","05",14976.67
"D","01/08/2018","06",15892.4
"D","01/08/2018","07",17092.49
"D","01/08/2018","08",17962.02
"D","01/08/2018","09",18012.95
"D","01/08/2018","10",17878.08
"D","01/08/2018","11",17789.0
"D","01/08/2018","12",17643.92
"D","01/08/2018","13",17527.06
"D","01/08/2018","14",17495.64
"D","01/08/2018","15",17435.07
"D","01/08/2018","16",17561.48
"D","01/08/2018","17",18359.11
"D","01/08/2018","18",19208.81
"D","01/08/2018","19",19103.57
"D","01/08/2018","20",18596.08
"D","01/08/2018","21",17868.19
"D","01/08/2018","22",16770.28
"D","01/08/2018","23",15410.53
"D","01/08/2018","24",14211.78
"D","01/09/2018","01",13448.55
"D","01/09/2018","02",13008.4
"D","01/09/2018","03",12823.9
"D","01/09/2018","04",12842.67
"D","01/09/2018","05",13156.66
"D","01/09/2018","06",14098.17
"D","01/09/2018","07",15794.18
"D","01/09/2018","08",16748.05
"D","01/09/2018","09",16726.46
"D","01/09/2018","10",16351.68
"D","01/09/2018","11",15994.24
"D","01/09/2018","12",15777.9
"D","01/09/2018","13",15655.18
"D","01/09/2018","14",15890.58
"D","01/09/2018","15",15962.95
"D","01/09/2018","16",16290.49
"D","01/09/2018","17",17051.62
"D","01/09/2018","18",18107.65
"D","01/09/2018","19",18114.99
"D","01/09/2018","20",17757.21
"D","01/09/2018","21",17154.91
"D","01/09/2018","22",16192.34
"D","01/09/2018","23",14942.21
"D","01/09/2018","24",14135.99
"D","01/10/2018","01",13724.64
"D","01/10/2018","02",13384.59
"D","01/10/2018","03",13522.09
"D","01/10/2018","04",13606.24
"D","01/10/2018","05",13747.28
"D","01/10/2018","06",14498.2
"D","01/10/2018","07",16152.72
"D","01/10/2018","08",17161.96
"D","01/10/2018","09",16974.89
"D","01/10/2018","10",16346.81
"D","01/10/2018","11",15859.98
"D","01/10/2018","12",15436.84
"D","01/10/2018","13",15129.36
"D","01/10/2018","14",15109.71
"D","01/10/2018","15",15543.22
"D","01/10/2018","16",15853.45
"D","01/10/2018","17",16785.85
"D","01/10/2018","18",17983.27
"D","01/10/2018","19",18014.87
"D","01/10/2018","20",17632.36
"D","01/10/2018","21",17001.03
"D","01/10/2018","22",15970.06
"D","01/10/2018","23",14623.97
"D","01/10/2018","24",13452.58
"D","01/11/2018","01",12699.05
"D","01/11/2018","02",12294.41
"D","01/11/2018","03",12092.96
"D","01/11/2018","04",12073.53
"D","01/11/2018","05",12386.07
"D","01/11/2018","06",13326.08
"D","01/11/2018","07",15006.51
"D","01/11/2018","08",15903.79
"D","01/11/2018","09",15881.39
"D","01/11/2018","10",15669.22
"D","01/11/2018","11",15516.92
"D","01/11/2018","12",15719.09
"D","01/11/2018","13",15647.81
"D","01/11/2018","14",15606.09
"D","01/11/2018","15",15484.72
"D","01/11/2018","16",15605.6
"D","01/11/2018","17",16205.31
"D","01/11/2018","18",16964.69
"D","01/11/2018","19",16855.03
"D","01/11/2018","20",16440.36
"D","01/11/2018","21",15874.51
"D","01/11/2018","22",15115.7
"D","01/11/2018","23",13847.72
"D","01/11/2018","24",13094.37
"D","01/12/2018","01",12738.1
"D","01/12/2018","02",12442.77
"D","01/12/2018","03",12360.41
"D","01/12/2018","04",12051.34
"D","01/12/2018","05",12568.44
"D","01/12/2018","06",13245.1
"D","01/12/2018","07",14448.99
"D","01/12/2018","08",14807.96
"D","01/12/2018","09",14984.71
"D","01/12/2018","10",15064.7
"D","01/12/2018","11",15109.39
"D","01/12/2018","12",15141.08
"D","01/12/2018","13",15355.73
"D","01/12/2018","14",15199.24
"D","01/12/2018","15",15094.45
"D","01/12/2018","16",15178.09
"D","01/12/2018","17",15702.22
"D","01/12/2018","18",16135.42
"D","01/12/2018","19",15824.5
"D","01/12/2018","20",15265.27
"D","01/12/2018","21",14646.0
"D","01/12/2018","22",13971.37
"D","01/12/2018","23",13359.06
"D","01/12/2018","24",12101.99
"D","01/13/2018","01",11355.44
"D","01/13/2018","02",10909.85
"D","01/13/2018","03",10579.91
"D","01/13/2018","04",10513.06
"D","01/13/2018","05",10866.33
"D","01/13/2018","06",11475.1
"D","01/13/2018","07",11923.98
"D","01/13/2018","08",12604.3
"D","01/13/2018","09",13031.95
"D","01/13/2018","10",13642.8
"D","01/13/2018","11",13764.78
"D","01/13/2018","12",13472.52
"D","01/13/2018","13",13262.41
"D","01/13/2018","14",13442.75
"D","01/13/2018","15",13990.85
"D","01/13/2018","16",14431.86
"D","01/13/2018","17",15375.76
"D","01/13/2018","18",16580.99
"D","01/13/2018","19",16649.82
"D","01/13/2018","20",16313.71
"D","01/13/2018","21",15952.42
"D","01/13/2018","22",15377.91
"D","01/13/2018","23",14763.17
"D","01/13/2018","24",14031.25
"D","01/14/2018","01",13406.97
"D","01/14/2018","02",13408.68
"D","01/14/2018","03",13606.48
"D","01/14/2018","04",13334.36
"D","01/14/2018","05",13816.51
"D","01/14/2018","06",13607.05
"D","01/14/2018","07",14088.84
"D","01/14/2018","08",14548.48
"D","01/14/2018","09",15105.99
"D","01/14/2018","10",15309.23
"D","01/14/2018","11",15236.92
"D","01/14/2018","12",15085.21
"D","01/14/2018","13",15186.4
"D","01/14/2018","14",15280.91
"D","01/14/2018","15",15760.83
"D","01/14/2018","16",16322.35
"D","01/14/2018","17",16830.1
"D","01/14/2018","18",18085.04
"D","01/14/2018","19",18063.96
"D","01/14/2018","20",17627.39
"D","01/14/2018","21",17161.86
"D","01/14/2018","22",16479.77
"D","01/14/2018","23",15504.59
"D","01/14/2018","24",14634.73
"D","01/15/2018","01",14342.91
"D","01/15/2018","02",14520.53
"D","01/15/2018","03",14409.35
"D","01/15/2018","04",14438.58
"D","01/15/2018","05",14526.09
"D","01/15/2018","06",14834.73
"D","01/15/2018","07",15934.76
"D","01/15/2018","08",16951.13
"D","01/15/2018","09",17646.57
"D","01/15/2018","10",17990.0
"D","01/15/2018","11",18189.37
"D","01/15/2018","12",18374.18
"D","01/15/2018","13",18368.56
"D","01/15/2018","14",18342.86
"D","01/15/2018","15",18271.75
"D","01/15/2018","16",18382.1
"D","01/15/2018","17",19046.02
"D","01/15/2018","18",19837.14
"D","01/15/2018","19",19598.21
"D","01/15/2018","20",19027.61
"D","01/15/2018","21",18280.42
"D","01/15/2018","22",17134.77
"D","01/15/2018","23",15775.41
"D","01/15/2018","24",14888.06
"T","360 lines"
